Pearson Correlation,WOD,WOD retained,ID OOD Mult,ID OOD Raw Mult,ID OOD Distance,Percent OOD drop,Percentage OOD retained,ID Dataset,DNN Arch.,Stem,SPR,CNN vs ViT,Aug. Strength,Resolution,OOD Dataset,Param. Count,ID Dataset Size,ID Class Count,OverParam. Level,Depth,ID Accuracy
0.96,0,1.947,0.252,0.265,0.730,11.92,88.08,Imagenet-100,VGGm-11,3,0.5,CNN,0,32,NINCO,9.46,126689,100,74.67104484,11,51.44
0.93,1.37,0.575,0.074,0.078,0.540,24.61,75.39,Imagenet-100,VGGm-11,3,0.5,CNN,0,32,ImageNet-R,9.46,126689,100,74.67104484,11,51.44
0.85,1.28,0.666,0.086,0.091,0.540,34.72,65.28,Imagenet-100,VGGm-11,3,0.5,CNN,0,32,CUB,9.46,126689,100,74.67104484,11,51.44
0.85,1.33,0.617,0.077,0.084,0.540,40.68,59.32,Imagenet-100,VGGm-11,3,0.5,CNN,0,32,Aircrafts,9.46,126689,100,74.67104484,11,51.44
0.87,0.4,1.541,0.201,0.210,0.660,30.90,69.1,Imagenet-100,VGGm-11,3,0.5,CNN,0,32,Flowers,9.46,126689,100,74.67104484,11,51.44
0.92,0.3,1.641,0.214,0.223,0.670,15.94,84.06,Imagenet-100,VGGm-11,3,0.5,CNN,0,32,CIFAR100,9.46,126689,100,74.67104484,11,51.44
0.98,0.44,1.500,0.187,0.204,0.650,5.15,94.85,Imagenet-100,VGGm-11,3,0.5,CNN,0,32,Pets,9.46,126689,100,74.67104484,11,51.44
0.95,0,2.602,0.297,0.354,0.860,7.05,92.95,Imagenet-100,VGGm-11,3,0.5,CNN,0,32,STL,9.46,126689,100,74.67104484,11,51.44
0.92,0.3,0.990,0.446,0.465,0.980,10.45,89.55,Imagenet-100,VGGm-11,3,0.5,CNN,0,224,NINCO,9.46,126689,100,74.67104484,11,77.72
0.97,0.97,0.315,0.142,0.148,0.800,12.03,87.97,Imagenet-100,VGGm-11,3,0.5,CNN,0,224,ImageNet-R,9.46,126689,100,74.67104484,11,77.72
0.86,0.99,0.294,0.133,0.138,0.800,24.60,75.4,Imagenet-100,VGGm-11,3,0.5,CNN,0,224,CUB,9.46,126689,100,74.67104484,11,77.72
0.88,0.99,0.292,0.128,0.137,0.800,17.07,82.93,Imagenet-100,VGGm-11,3,0.5,CNN,0,224,Aircrafts,9.46,126689,100,74.67104484,11,77.72
0.81,0.59,0.695,0.314,0.326,0.880,35.54,64.46,Imagenet-100,VGGm-11,3,0.5,CNN,0,224,Flowers,9.46,126689,100,74.67104484,11,77.72
0.92,0.65,0.638,0.288,0.300,0.870,12.80,87.2,Imagenet-100,VGGm-11,3,0.5,CNN,0,224,CIFAR100,9.46,126689,100,74.67104484,11,77.72
0.99,0.23,1.057,0.469,0.496,1.010,0.00,100,Imagenet-100,VGGm-11,3,0.5,CNN,0,224,Pets,9.46,126689,100,74.67104484,11,77.72
0.96,0,1.285,0.519,0.603,1.100,1.88,98.12,Imagenet-100,VGGm-11,3,0.5,CNN,0,224,STL,9.46,126689,100,74.67104484,11,77.72
0.97,0.02,1.567,0.379,0.396,0.890,2.00,98,Imagenet-100,VGGm-11,3,0.5,CNN,2,32,NINCO,9.46,126689,100,74.67104484,11,63.2
0.95,1.12,0.466,0.113,0.118,0.660,9.41,90.59,Imagenet-100,VGGm-11,3,0.5,CNN,2,32,ImageNet-R,9.46,126689,100,74.67104484,11,63.2
0.94,0.92,0.658,0.160,0.166,0.680,18.48,81.52,Imagenet-100,VGGm-11,3,0.5,CNN,2,32,CUB,9.46,126689,100,74.67104484,11,63.2
0.78,1.22,0.363,0.084,0.092,0.650,43.84,56.16,Imagenet-100,VGGm-11,3,0.5,CNN,2,32,Aircrafts,9.46,126689,100,74.67104484,11,63.2
0.93,0.17,1.414,0.345,0.357,0.850,13.51,86.49,Imagenet-100,VGGm-11,3,0.5,CNN,2,32,Flowers,9.46,126689,100,74.67104484,11,63.2
0.92,0.39,1.193,0.290,0.301,0.790,12.60,87.4,Imagenet-100,VGGm-11,3,0.5,CNN,2,32,CIFAR100,9.46,126689,100,74.67104484,11,63.2
0.99,0.33,1.249,0.293,0.315,0.810,2.09,97.91,Imagenet-100,VGGm-11,3,0.5,CNN,2,32,Pets,9.46,126689,100,74.67104484,11,63.2
0.97,0,1.924,0.416,0.486,1.000,2.58,97.42,Imagenet-100,VGGm-11,3,0.5,CNN,2,32,STL,9.46,126689,100,74.67104484,11,63.2
0.96,0.16,1.084,0.549,0.568,1.070,3.27,96.73,Imagenet-100,VGGm-11,3,0.5,CNN,2,224,NINCO,9.46,126689,100,74.67104484,11,80.64
0.99,0.87,0.372,0.188,0.195,0.840,0.00,100,Imagenet-100,VGGm-11,3,0.5,CNN,2,224,ImageNet-R,9.46,126689,100,74.67104484,11,80.64
0.98,0.73,0.509,0.260,0.267,0.870,4.44,95.56,Imagenet-100,VGGm-11,3,0.5,CNN,2,224,CUB,9.46,126689,100,74.67104484,11,80.64
0.95,0.8,0.440,0.220,0.231,0.860,0.21,99.79,Imagenet-100,VGGm-11,3,0.5,CNN,2,224,Aircrafts,9.46,126689,100,74.67104484,11,80.64
0.95,0.15,1.086,0.554,0.569,1.070,7.34,92.66,Imagenet-100,VGGm-11,3,0.5,CNN,2,224,Flowers,9.46,126689,100,74.67104484,11,80.64
0.97,0.46,0.783,0.398,0.411,0.950,3.87,96.13,Imagenet-100,VGGm-11,3,0.5,CNN,2,224,CIFAR100,9.46,126689,100,74.67104484,11,80.64
0.99,0.19,1.046,0.520,0.549,1.060,0.00,100,Imagenet-100,VGGm-11,3,0.5,CNN,2,224,Pets,9.46,126689,100,74.67104484,11,80.64
